epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,11052.6,1.45188,0.97416,0.91474,0.76268,0.65221,0.70921,0.51212,1.43727,0.92506,0.92481,0.000176635,0.000176635,0.000176635
108,11141.9,1.44748,0.96308,0.9128,0.79006,0.65965,0.71255,0.51981,1.42937,0.92013,0.92346,0.000172754,0.000172754,0.000172754
109,11230.4,1.4544,0.9608,0.9175,0.80105,0.64796,0.71267,0.51364,1.44341,0.92332,0.92402,0.000168874,0.000168874,0.000168874
110,11320.6,1.4571,0.95497,0.91344,0.77382,0.65124,0.7115,0.51737,1.43851,0.92006,0.92301,0.000164993,0.000164993,0.000164993
111,11424.8,1.43291,0.94076,0.91224,0.76258,0.6646,0.71561,0.51967,1.43244,0.9186,0.92045,0.000161112,0.000161112,0.000161112
112,11528.4,1.44666,0.95686,0.91484,0.78295,0.66032,0.71949,0.52075,1.42623,0.91358,0.92232,0.000157231,0.000157231,0.000157231
113,11627.9,1.46572,0.95269,0.91688,0.78314,0.66444,0.72397,0.52357,1.44404,0.9202,0.92525,0.00015335,0.00015335,0.00015335
114,11722.3,1.453,0.95574,0.91342,0.79207,0.6595,0.72636,0.52985,1.4191,0.912,0.91973,0.00014947,0.00014947,0.00014947
115,11809.3,1.43096,0.94356,0.91324,0.79399,0.66215,0.72653,0.53102,1.42466,0.90955,0.92026,0.000145589,0.000145589,0.000145589
116,11897.3,1.42314,0.95169,0.91083,0.77354,0.67563,0.72175,0.52613,1.42717,0.91272,0.91959,0.000141708,0.000141708,0.000141708
117,12019.6,1.42201,0.9301,0.9085,0.80319,0.65142,0.7166,0.5188,1.4351,0.9166,0.92267,0.000137827,0.000137827,0.000137827
118,12117.5,1.44451,0.95275,0.91205,0.82567,0.65315,0.72716,0.52747,1.41907,0.90362,0.92049,0.000133946,0.000133946,0.000133946
119,12215.9,1.43771,0.94969,0.91207,0.78035,0.67985,0.72253,0.5293,1.41611,0.89794,0.91826,0.000130066,0.000130066,0.000130066
120,12314.7,1.44218,0.95447,0.9128,0.80461,0.66641,0.72892,0.53136,1.41295,0.89724,0.91894,0.000126185,0.000126185,0.000126185
121,12411.6,1.43329,0.94815,0.91291,0.78084,0.66651,0.71817,0.52406,1.42082,0.90648,0.92059,0.000122304,0.000122304,0.000122304
122,12511.6,1.41726,0.92978,0.91274,0.81475,0.64538,0.72051,0.52525,1.4162,0.89572,0.9186,0.000118423,0.000118423,0.000118423
